section,reference,value,footprint,description,pins
Mainboard Power,R12,2K,,Temperature sensor pull-up,1=VCC3V3;2=TEMP_RESET
Mainboard Power,R13,510K,Resistor_SMD:R_0201_0603Metric,Battery divider upper resistor,1=VBAT;2=BAT_ADC
Mainboard Power,R14,510K,Resistor_SMD:R_0201_0603Metric,Battery divider lower resistor,1=BAT_ADC;2=GND
Mainboard Power,C14,1uF,Capacitor_SMD:C_0201_0603Metric,Charger input capacitor,1=VBUS;2=GND
Mainboard Power,C15,1uF,Capacitor_SMD:C_0201_0603Metric,Charger battery capacitor,1=VBAT;2=GND
Mainboard Power,C16,2.2uF,Capacitor_SMD:C_0201_0603Metric,Power-path capacitor,1=VIN;2=GND
Mainboard Power,C17,4.7uF,Capacitor_SMD:C_0201_0603Metric,Buck input capacitor,1=VIN;2=GND
Mainboard Power,C18,4.7uF,Capacitor_SMD:C_0201_0603Metric,Buck output capacitor,1=VCC_3V3;2=GND
Mainboard Power,C19,4.7uF,Capacitor_SMD:C_0201_0603Metric,Buck output capacitor,1=VCC_3V3;2=GND
Mainboard Power,C20,0.1uF,Capacitor_SMD:C_0201_0603Metric,Temperature sensor bypass capacitor,1=VCC3V3;2=GND
Mainboard Power,C21,0.1uF,Capacitor_SMD:C_0201_0603Metric,IMU bypass capacitor,1=VCC3V3;2=GND
Mainboard Power,C22,0.1uF,Capacitor_SMD:C_0201_0603Metric,Battery ADC filter capacitor,1=BAT_ADC;2=GND
Expansion Board,JA1,AFC01-S24FCC-00,,OV5640 camera socket,1=NC;2=AGND;3=CAM_SDA;4=AVCC_2V8;5=CAM_SCL;6=CAM_RESET;7=DVP_VSYNC;8=CAM_PWDN;9=DVP_HREF;10=VCC_1V3;11=VCC_2V8;12=DVP_Y9;13=XMCLK;14=DVP_Y8;15=GND;16=DVP_Y7;17=DVP_PCLK;18=DVP_Y6;19=DVP_Y2;20=DVP_Y5;21=DVP_Y3;22=DVP_Y4;23=NC;24=NC
Expansion Board,JA2,ST-TF-003D-3-2/320090495,,MicroSD socket,1=SD_D1;2=SD_D0;3=GND;4=SD_SCK;5=VCC_SD_3V3;6=SD_MOSI;7=SD_CS;8=SD_D2;9=GND;10=GND
Expansion Board,JA3,DF40HC(3.0)-30DS-0.4V(51),,Expansion board-to-board connector,1=VIN;2=VIN;3=PDM_CLK;4=PDM_DATA;5=CAM_SDA;6=CAM_SCL;7=DVP_VSYNC;8=DVP_HREF;9=DVP_Y9;10=VCC_3V3;11=VCC_3V3;12=NC;13=NC;14=USER_LED;15=GND;16=VIN;17=DVP_Y4;18=DVP_Y3;19=DVP_Y5;20=DVP_Y2;21=DVP_Y6;22=DVP_PCLK;23=DVP_Y7;24=DVP_Y8;25=XMCLK;26=SD_MOSI;27=SD_MISO;28=SD_SCK;29=SD_CS;30=GND
Expansion Board,MIC1,MSM261D3526H1CPM,,PDM microphone,1=VCC_3V3;2=PDM_CLK;3=PDM_DATA;4=GND;5=GND
Expansion Board,U1,SGM2036S-2.8XXDH4G/TR,,2.8V camera LDO,1=VCC_IN;2=GND;3=VCC_2V8;4=VCC_IN
Expansion Board,U2,SGM2036S-1.3XXDH4G/TR,,1.3V camera LDO,1=VCC_IN;2=GND;3=VCC_1V3;4=VCC_IN
Expansion Board,D1,ESDPSA0402V05,,Camera ESD suppressor,1=CAM_SDA;2=GND
Expansion Board,D2,ESDPSA0402V05,,Camera ESD suppressor,1=CAM_SCL;2=GND
Expansion Board,D3,ESDPSA0402V05,,Camera ESD suppressor,1=DVP_PCLK;2=GND
Expansion Board,D4,ESDPSA0402V05,,Camera ESD suppressor,1=XMCLK;2=GND
Expansion Board,D5,ESD9B3.3ST5G,,SD ESD suppressor,1=VCC_SD_3V3;2=GND
Expansion Board,D6,MSK4005,,Power protection diode,1=VIN;2=VCC_IN
Expansion Board,FB1,120R-1.3A,,Camera supply ferrite bead,1=VCC_3V3;2=VCC_2V8
Expansion Board,FB2,120R-1.3A,,SD supply ferrite bead,1=VCC_3V3;2=VCC_SD_3V3
Expansion Board,R1,22R,,Camera series resistor,1=DVP_PCLK;2=DVP_PCLK_CAM
Expansion Board,R2,22R,,Camera series resistor,1=XMCLK;2=XMCLK_CAM
Expansion Board,R3,22R,,Camera series resistor,1=DVP_VSYNC;2=DVP_VSYNC_CAM
Expansion Board,R4,4.7K,,Camera I2C pull-up,1=VCC_2V8;2=CAM_SDA
Expansion Board,R5,4.7K,,Camera I2C pull-up,1=VCC_2V8;2=CAM_SCL
Expansion Board,R6,4.7K,,Camera reset pull-up,1=VCC_2V8;2=CAM_RESET
Expansion Board,R7,4.7K,,SD pull-up,1=VCC_SD_3V3;2=SD_MISO
Expansion Board,R8,4.7K,,SD pull-up,1=VCC_SD_3V3;2=SD_MOSI
Expansion Board,R9,10K,,Camera control pull resistor,1=CAM_PWDN;2=GND
Expansion Board,R10,10K,,Camera control pull resistor,1=CAM_RESET;2=GND
Expansion Board,R11,DNP,,Optional camera resistor,1=CAM_SDA;2=CAM_SCL
Expansion Board,R12,0R,,Camera supply link,1=VCC_2V8;2=AVCC_2V8
Expansion Board,R13,DNP,,Optional camera resistor,1=CAM_PWDN;2=GND
Expansion Board,R14,0R,,Camera link,1=DVP_HREF;2=DVP_HREF_CAM
Expansion Board,R15,DNP,,Optional camera resistor,1=DVP_VSYNC;2=GND
Expansion Board,R16,0R,,User LED link,1=USER_LED;2=USER_LED_OUT
Expansion Board,C1,4.7uF,,2.8V LDO input capacitor,1=VCC_IN;2=GND
Expansion Board,C2,4.7uF,,2.8V LDO output capacitor,1=VCC_2V8;2=GND
Expansion Board,C3,2.2uF,,1.3V LDO input capacitor,1=VCC_IN;2=GND
Expansion Board,C4,2.2uF,,1.3V LDO output capacitor,1=VCC_1V3;2=GND
Expansion Board,C5,100nF,,Camera supply bypass capacitor,1=VCC_2V8;2=GND
Expansion Board,C6,100nF,,Camera supply bypass capacitor,1=VCC_2V8;2=GND
Expansion Board,C7,100nF,,Microphone bypass capacitor,1=VCC_3V3;2=GND
Expansion Board,C8,100nF,,Camera bypass capacitor,1=VCC_2V8;2=GND
Expansion Board,C9,1uF,,Camera bulk capacitor,1=VCC_2V8;2=GND
Expansion Board,C10,100nF,,Camera bypass capacitor,1=VCC_2V8;2=GND
Expansion Board,C11,4.7uF,,Camera bulk capacitor,1=VCC_2V8;2=GND
Expansion Board,C12,100nF,,Camera bypass capacitor,1=VCC_1V3;2=GND
Expansion Board,C13,2.2uF,,SD supply capacitor,1=VCC_SD_3V3;2=GND
Expansion Board,C14,2.2uF,,SD supply capacitor,1=VCC_SD_3V3;2=GND
Expansion Board,C15,100nF,,SD bypass capacitor,1=VCC_SD_3V3;2=GND
Expansion Board,C16,100nF,,Camera connector bypass capacitor,1=VCC_2V8;2=GND
Expansion Board,C17,100nF,,Camera connector bypass capacitor,1=VCC_2V8;2=GND
Expansion Board,J4,DNP,,Optional connector,1=NC
Expansion Board,J5,DNP,,Optional connector,1=NC
Expansion Board,JP1,Solder jumper,,Configuration jumper,1=CAM_PWDN;2=GND
Expansion Board,JP2,Solder jumper,,Configuration jumper,1=CAM_RESET;2=VCC_2V8
Expansion Board,JP3,Solder jumper,,Configuration jumper,1=USER_LED;2=USER_LED_OUT
Expansion Board,TP1,VCC_2V8,,2.8V test point,1=VCC_2V8
Expansion Board,TP2,VCC_1V3,,1.3V test point,1=VCC_1V3
Expansion Board,TP3,GND,,Ground test point,1=GND
Expansion Board,TP4,VCC_SD_3V3,,SD supply test point,1=VCC_SD_3V3
Expansion Board,TP5,AVCC_2V8,,Camera analog supply test point,1=AVCC_2V8
