"Board","Vendor Ref","KiCad Ref","Value","Footprint","Description","Qty","DNP"
"Expansion Board","JA2","XJA2","ST-TF-003D-3-2/320090495","","MicroSD socket","1",""
"Expansion Board","JA3","XJA3","DF40HC(3.0)-30DS-0.4V(51)","","Expansion board-to-board connector","1",""
"Expansion Board","JP1,JP2,JP3","XJP1-XJP3","Solder jumper","","Configuration jumper","3",""
"Expansion Board","MIC1","XMIC1","MSM261D3526H1CPM","","PDM microphone","1",""
"Expansion Board","R1,R2,R3","XR1-XR3","22R","","Camera series resistor","3",""
"Expansion Board","R4,R5","XR4,XR5","4.7K","","Camera I2C pull-up","2",""
"Expansion Board","R6","XR6","4.7K","","Camera reset pull-up","1",""
"Expansion Board","R7,R8","XR7,XR8","4.7K","","SD pull-up","2",""
"Expansion Board","R10,R9","XR9,XR10","10K","","Camera control pull resistor","2",""
"Expansion Board","R11,R13,R15","XR11,XR13,XR15","DNP","","Optional camera resistor","3","DNP"
"Expansion Board","R12","XR12","0R","","Camera supply link","1",""
"Expansion Board","R14","XR14","0R","","Camera link","1",""
"Expansion Board","R16","XR16","0R","","User LED link","1",""
"Expansion Board","TP1","XTP1","VCC_2V8","","2.8V test point","1",""
"Expansion Board","TP2","XTP2","VCC_1V3","","1.3V test point","1",""
"Expansion Board","TP3","XTP3","GND","","Ground test point","1",""
"Expansion Board","TP4","XTP4","VCC_SD_3V3","","SD supply test point","1",""
"Expansion Board","TP5","XTP5","AVCC_2V8","","Camera analog supply test point","1",""
"Expansion Board","U1","XU1","SGM2036S-2.8XXDH4G/TR","","2.8V camera LDO","1",""
"Expansion Board","U2","XU2","SGM2036S-1.3XXDH4G/TR","","1.3V camera LDO","1",""
"Mainboard Core","Y1","Y1","40MHz 10ppm","","Crystal","1",""
